"Country","Virus Name","Submitted"
"Bahrain","hCoV-19/Bahrain/921183622/2021","2021-08-02"
"Sint Maarten","hCoV-19/Sint Maarten/SX-RIVM-46223/2021","2021-07-30"
"Bonaire","hCoV-19/Bonaire/BQ-RIVM-45034/2021","2021-07-30"
"Curacao","hCoV-19/Curacao/CW-RIVM-44533/2021","2021-07-30"
"Bosnia and Herzegovina","hCoV-19/Bosnia and Herzegovina/VFS-UNSA-LMGFI038/2021","2021-07-26"
"Czech Republic","hCoV-19/Czech Republic/NRL_9348/2021","2021-07-23"
"Pakistan","hCoV-19/Pakistan/NIH-B10-S13/2021","2021-07-11"
"Cayman Islands","hCoV-19/Cayman Islands/26625/2021","2021-06-24"
"New Zealand","hCoV-19/New Zealand/21MV0468/2021","2021-06-23"
"Singapore","hCoV-19/Singapore/1546/2021","2021-06-21"
"Angola","hCoV-19/Angola/CERI-KRISP-K012707/2021","2021-06-11"
"Australia","hCoV-19/Australia/NSW1595/2021","2021-06-09"
"Greece","hCoV-19/Greece/209012/2021","2021-06-08"
"Guam","hCoV-19/USA/GU-CDC-2-4449094/2021","2021-06-08"
"Uruguay","hCoV-19/Uruguay/UY-NYULH2178/2021","2021-06-05"
"China","hCoV-19/Guangdong/IVDC-05-02/2021","2021-05-08"
"Thailand","hCoV-19/Thailand/CU-A21002-NT/2021","2021-04-23"
"Bangladesh","hCoV-19/Bangladesh/BCSIR-DNAS-15/2021","2021-04-20"
"Faroe Islands","hCoV-19/Faroe Islands/HFS-193/2021","2021-01-21"
