submission_id,submission_date,gender,age,geography,financial_situation,education,employment_status,submission_state,are_there_children_0_to_2_yrs_out_of_educational_system,were_children_3_to_17_yrs_enrolled_and_did_not_return_to_school,are_there_children_who_stopped_enrolling_in_primary_education,are_there_children_who_stopped_enrolling_in_secondary_education,are_children_attending_face_to_face_classes,can_children_observe_deterioration_of_basic_services_of_school,do_children_3_and_17_yrs_receive_regular_school_meals,are_there_teachers_at_scheduled_class_hours,are_children_3_to_17_yrs_dealing_with_irregular_school_activity,are_children_being_teached_by_unqualified_people,did_teachers_leave_the_educational_system,do_school_and_the_teachers_have_internet_connection,do_children_have_internet_connection,do_children_3_to_17_yrs_miss_virtual_class_due_to_lack_of_electricity,does_home_shows_severe_deficit_of_electricity,does_home_shows_severe_deficit_of_internet,do_children_3_to_17_yrs_miss_class_or_in_lower_grade,are_children_promoted_with_a_modality_different_from_formal_evaluation
5.28156E+15,2021/4/7,Female,18 to 25 years old,Suburban/Peri-urban,I cannot afford enough food for my family,Some university or college,"I do housework, fulfilling domestic tasks, looking after children",Mérida,1,1,0,0,0,1,No,Irregularly,1,1,1,0,1,1,0,0,1,1
6.24388E+15,2021/3/22,Female,18 to 25 years old,Rural,I cannot afford enough food for my family,Secondary school/ high school completed,I am a student,Mérida,0,0,0,0,0,1,No,Irregularly,1,0,1,1,1,1,1,1,0,1
4.51794E+15,2021/3/17,Male,18 to 25 years old,Rural,I cannot afford enough food for my family,Prefer not to answer,I am a student,Mérida,0,0,0,0,1,1,No,Irregularly,1,0,1,0,1,0,1,1,0,0
4.60315E+15,2021/3/28,Male,18 to 25 years old,Rural,I cannot afford enough food for my family,Primary school completed,I am a student,Carabobo,0,0,0,0,1,0,No,Irregularly,0,0,1,0,1,1,1,0,1,0
5.81749E+15,2021/3/13,Male,26 to 35 years old,Suburban/Peri-urban,I cannot afford enough food for my family,Technical school diploma or degree completed,I am unemployed,Falcón,0,0,0,0,0,1,No,Irregularly,0,0,0,0,1,1,0,1,0,0
6.33292E+15,2021/4/2,Male,18 to 25 years old,Rural,"I can afford food and regular expenses, but nothing else",Secondary school/ high school completed,I am a student and I work part-time,Yaracuy,0,1,1,1,0,1,Every day,Irregularly,1,1,1,0,0,1,0,1,1,1
5.71811E+15,2021/3/18,Female,18 to 25 years old,City center or metropolitan area,I cannot afford enough food for my family,Some university or college,I am a student,Falcón,0,1,0,0,0,1,No,Irregularly,1,1,0,0,0,1,0,1,0,0
6.70998E+15,2021/3/13,Male,Over 45 years old,Rural,"I can afford food, regular expenses, and clothes, but nothing else",Secondary school/ high school completed,"I work part-time, either as an employee or self-employed",Distrito Federal,1,0,0,0,0,1,No,Irregularly,1,1,1,0,0,1,0,1,0,0
5.60953E+15,2021/3/13,Male,36 to 45 years old,City center or metropolitan area,"I can afford food, regular expenses, and clothes, but nothing else",Secondary school/ high school completed,"I work part-time, either as an employee or self-employed",Distrito Federal,0,1,0,0,0,1,No,Irregularly,1,0,1,0,1,0,0,0,0,1
4.57183E+15,2021/4/8,Female,36 to 45 years old,Suburban/Peri-urban,"I can afford food, regular expenses, and clothes, but nothing else",Secondary school/ high school completed,"I work part-time, either as an employee or self-employed",Distrito Federal,0,1,0,0,1,1,No,Irregularly,0,0,1,0,0,0,0,1,0,0
5.33926E+15,2021/3/16,Female,18 to 25 years old,Suburban/Peri-urban,I cannot afford enough food for my family,Secondary school/ high school completed,"I do housework, fulfilling domestic tasks, looking after children",Distrito Federal,1,0,0,0,0,1,No,Irregularly,1,0,0,0,0,1,0,1,0,0
4.62846E+15,2021/3/16,Female,36 to 45 years old,City center or metropolitan area,"I can afford food, but nothing else",University or college degree completed,"I work part-time, either as an employee or self-employed",Distrito Federal,1,1,0,0,0,1,No,Irregularly,0,0,1,0,0,0,0,0,0,0
4.96537E+15,2021/3/13,Female,Over 45 years old,Suburban/Peri-urban,"I can afford food, but nothing else",Primary school completed,"I do housework, fulfilling domestic tasks, looking after children",Distrito Federal,1,1,0,0,0,1,No,Irregularly,1,0,1,1,1,1,1,0,0,0
5.67091E+15,2021/3/13,Female,26 to 35 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",Technical school diploma or degree completed,"I work full-time, either as an employee or self-employed",Distrito Federal,0,1,1,1,0,0,No,Irregularly,1,1,1,1,1,1,0,1,1,1
5.16663E+15,2021/3/29,Male,18 to 25 years old,Suburban/Peri-urban,I cannot afford enough food for my family,Secondary school/ high school completed,I am a student,Distrito Federal,0,1,0,1,0,1,No,Irregularly,1,1,0,0,0,0,0,0,0,0
4.97714E+15,2021/3/17,Male,36 to 45 years old,City center or metropolitan area,"I can afford food, but nothing else",University or college degree completed,"I work full-time, either as an employee or self-employed",Distrito Federal,0,1,1,0,0,1,No,Irregularly,1,0,1,0,1,1,1,1,1,1
5.51355E+15,2021/3/14,Female,36 to 45 years old,City center or metropolitan area,"I can afford food, but nothing else",Post-graduate education,"I work part-time, either as an employee or self-employed",Distrito Federal,0,1,1,0,0,1,No,Irregularly,1,1,1,0,1,1,0,1,0,1
4.66649E+15,2021/3/15,Female,18 to 25 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",Some technical education (e.g polytechnic school),"I do housework, fulfilling domestic tasks, looking after children",Distrito Federal,0,1,0,0,1,1,No,Irregularly,1,0,1,1,1,0,0,0,0,0
5.55564E+15,2021/3/13,Male,26 to 35 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",Secondary school/ high school completed,"I work full-time, either as an employee or self-employed",Distrito Federal,0,1,0,0,0,1,No,Irregularly,1,0,1,0,0,1,0,1,0,1
6.47603E+15,2021/3/19,Female,Over 45 years old,City center or metropolitan area,I cannot afford enough food for my family,Some secondary school / high school,"I do housework, fulfilling domestic tasks, looking after children",Distrito Federal,0,0,0,0,0,1,No,Irregularly,1,0,0,1,0,0,0,1,0,0
5.58217E+15,2021/3/17,Female,26 to 35 years old,Rural,"I can comfortably afford food, clothes, and furniture, and I have savings",Post-graduate education,"I work part-time, either as an employee or self-employed",Distrito Federal,0,1,0,1,0,1,No,Irregularly,1,1,1,1,1,0,1,1,0,0
5.17258E+15,2021/3/19,Male,26 to 35 years old,Rural,I cannot afford enough food for my family,University or college degree completed,I am a student and I work part-time,Distrito Federal,1,0,0,0,1,0,1 day,Irregularly,0,1,0,1,1,1,0,0,0,1
6.24788E+15,2021/3/25,Male,18 to 25 years old,Rural,"I can afford food and regular expenses, but nothing else",Some university or college,I am a student,Distrito Federal,1,1,1,1,0,1,No,Irregularly,1,1,0,0,1,1,0,1,0,1
5.25012E+15,2021/3/14,Male,Over 45 years old,City center or metropolitan area,"I can afford food, but nothing else",Secondary school/ high school completed,"I work part-time, either as an employee or self-employed",Distrito Federal,0,1,0,0,0,1,No,Irregularly,1,1,1,1,1,0,0,0,0,1
6.33839E+15,2021/3/14,Female,18 to 25 years old,Rural,I cannot afford enough food for my family,Secondary school/ high school completed,I am a student,Distrito Federal,1,1,0,0,0,0,No,Irregularly,1,0,1,1,1,0,0,1,0,0
4.86818E+15,2021/3/14,Male,36 to 45 years old,City center or metropolitan area,"I can afford food, but nothing else",Secondary school/ high school completed,"I work full-time, either as an employee or self-employed",Distrito Federal,1,1,0,0,1,1,No,Irregularly,1,1,1,1,1,1,1,1,0,1
4.69006E+15,2021/3/19,Female,26 to 35 years old,Suburban/Peri-urban,"I can afford food, but nothing else",Technical school diploma or degree completed,I am unemployed,Distrito Federal,0,1,0,1,0,1,2 days,Irregularly,1,1,0,0,0,0,1,0,0,1
5.41724E+15,2021/3/15,Male,26 to 35 years old,Suburban/Peri-urban,"I can afford food and regular expenses, but nothing else",Some technical education (e.g polytechnic school),I am a student,Distrito Federal,0,0,0,0,0,1,4 days,Irregularly,0,0,1,0,1,1,0,0,1,1
5.25677E+15,2021/3/29,Male,26 to 35 years old,Suburban/Peri-urban,"I can afford food and regular expenses, but nothing else",Technical school diploma or degree completed,"I work part-time, either as an employee or self-employed",Distrito Federal,0,0,0,0,0,1,No,Irregularly,0,1,0,0,0,1,0,1,0,0
5.17565E+15,2021/3/14,Male,18 to 25 years old,City center or metropolitan area,I cannot afford enough food for my family,Secondary school/ high school completed,I am a student,Distrito Federal,0,1,0,0,1,1,No,Irregularly,1,0,1,1,0,1,0,0,0,1
6.00357E+15,2021/3/18,Female,Over 45 years old,Suburban/Peri-urban,"I can afford food and regular expenses, but nothing else",University or college degree completed,"I work part-time, either as an employee or self-employed",Distrito Federal,0,1,0,1,0,0,No,Irregularly,1,0,1,1,1,1,0,0,0,0
6.68037E+15,2021/3/17,Male,18 to 25 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",Secondary school/ high school completed,I am a student,Distrito Federal,0,0,0,1,0,0,No,Irregularly,1,0,1,0,1,1,0,1,0,0
4.84086E+15,2021/3/16,Male,18 to 25 years old,Suburban/Peri-urban,Prefer not to answer,Secondary school/ high school completed,I am a student,Distrito Federal,1,1,1,1,1,1,1 day,Irregularly,1,1,1,1,1,1,1,1,0,1
6.62589E+15,2021/3/14,Male,26 to 35 years old,Rural,"I can afford food and regular expenses, but nothing else",Secondary school/ high school completed,"I work full-time, either as an employee or self-employed",Distrito Federal,0,0,0,0,0,0,No,Irregularly,0,1,1,0,1,0,1,1,0,0
4.79164E+15,2021/3/13,Male,18 to 25 years old,Suburban/Peri-urban,"I can afford food, regular expenses, and clothes, but nothing else",Technical school diploma or degree completed,"I work full-time, either as an employee or self-employed",Distrito Federal,1,1,0,0,0,1,No,Irregularly,1,0,1,1,1,0,0,0,0,0
6.39602E+15,2021/3/13,Male,26 to 35 years old,Rural,I cannot afford enough food for my family,University or college degree completed,"I work part-time, either as an employee or self-employed",Distrito Federal,0,0,0,0,0,0,No,Irregularly,0,0,1,1,1,0,0,0,0,0
5.30964E+15,2021/3/23,Female,Over 45 years old,City center or metropolitan area,"I can afford food, but nothing else",Secondary school/ high school completed,"I do housework, fulfilling domestic tasks, looking after children",Distrito Federal,1,1,1,0,0,1,No,Irregularly,1,0,1,1,1,1,0,0,1,0
4.83696E+15,2021/3/13,Female,Over 45 years old,City center or metropolitan area,"I can afford food, but nothing else",University or college degree completed,"I work full-time, either as an employee or self-employed",Distrito Federal,0,1,0,0,1,1,4 days,Irregularly,1,0,1,1,1,0,0,0,0,0
6.50749E+15,2021/3/20,Female,26 to 35 years old,City center or metropolitan area,"I can afford food, but nothing else",University or college degree completed,"I work full-time, either as an employee or self-employed",Distrito Federal,0,1,0,0,1,1,No,Irregularly,1,0,0,1,0,0,0,0,0,0
4.62543E+15,2021/3/13,Female,36 to 45 years old,City center or metropolitan area,"I can afford food, but nothing else",University or college degree completed,I am unemployed,Distrito Federal,0,1,0,0,0,0,No,Irregularly,0,0,0,1,1,0,0,0,0,0
4.61979E+15,2021/5/3,Female,Over 45 years old,Suburban/Peri-urban,"I can afford food, but nothing else",Some university or college,I am retired,Distrito Federal,0,1,0,0,0,1,No,Irregularly,1,0,1,1,1,1,0,1,0,0
4.90774E+15,2021/3/14,Male,Over 45 years old,Suburban/Peri-urban,I cannot afford enough food for my family,Some secondary school / high school,"I work part-time, either as an employee or self-employed",Distrito Federal,0,1,1,1,0,1,No,Irregularly,1,0,1,0,0,0,1,0,0,1
5.46522E+15,2021/9/27,Female,26 to 35 years old,City center or metropolitan area,"I can afford food, but nothing else",University or college degree completed,"I work full-time, either as an employee or self-employed",Distrito Federal,1,1,0,0,0,1,No,Irregularly,1,0,0,1,1,1,0,1,1,0
5.39804E+15,2021/3/26,Female,36 to 45 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",University or college degree completed,"I work part-time, either as an employee or self-employed",Distrito Federal,0,1,0,0,1,0,No,Irregularly,1,0,0,1,1,1,0,0,1,1
5.45394E+15,2021/3/30,Female,18 to 25 years old,City center or metropolitan area,I cannot afford enough food for my family,Some university or college,I am a student,Distrito Federal,1,1,0,0,0,1,No,Irregularly,1,0,1,1,1,0,0,0,0,0
5.16095E+15,2021/3/13,Female,18 to 25 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",University or college degree completed,"I work full-time, either as an employee or self-employed",Distrito Federal,0,0,0,0,0,0,No,Irregularly,1,0,0,0,1,0,0,0,0,1
5.48443E+15,2021/3/19,Female,26 to 35 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",Secondary school/ high school completed,I am unemployed,Distrito Federal,0,1,0,0,0,1,No,Irregularly,1,1,0,0,1,1,1,1,0,0
6.15303E+15,2021/3/14,Male,36 to 45 years old,Rural,"I can afford food and regular expenses, but nothing else",Some secondary school / high school,"I work full-time, either as an employee or self-employed",Distrito Federal,0,1,0,0,0,1,No,Irregularly,1,0,1,1,1,1,0,1,0,0
5.75085E+15,2021/3/21,Female,18 to 25 years old,Suburban/Peri-urban,Prefer not to answer,University or college degree completed,I am unemployed,Distrito Federal,0,0,0,0,0,0,No,Irregularly,1,0,0,1,1,0,0,0,0,0
5.50453E+15,2021/3/15,Female,18 to 25 years old,City center or metropolitan area,I cannot afford enough food for my family,Some university or college,I am a student and I work part-time,Distrito Federal,0,1,1,1,0,1,No,Irregularly,0,0,0,0,0,0,0,1,1,0
4.98646E+15,2021/3/22,Female,18 to 25 years old,Suburban/Peri-urban,"I can afford food, but nothing else",Technical school diploma or degree completed,"I do housework, fulfilling domestic tasks, looking after children",Distrito Federal,0,0,0,0,0,1,No,Irregularly,0,0,0,0,1,0,0,0,0,0
6.25632E+15,2021/3/25,Male,26 to 35 years old,Suburban/Peri-urban,I cannot afford enough food for my family,Some university or college,I am unemployed,Distrito Federal,0,1,1,0,1,0,No,Irregularly,1,0,0,1,1,0,0,1,0,1
6.2336E+15,2021/3/20,Male,18 to 25 years old,City center or metropolitan area,"I can comfortably afford food, clothes, and furniture, and I have savings",University or college degree completed,"I work full-time, either as an employee or self-employed",Bolívar,0,1,1,0,0,1,No,Irregularly,0,0,0,1,1,1,0,0,0,1
4.5173E+15,2021/3/13,Male,26 to 35 years old,Rural,I cannot afford enough food for my family,University or college degree completed,"I work part-time, either as an employee or self-employed",Bolívar,1,1,1,1,0,0,No,Irregularly,1,0,1,0,0,0,0,0,0,1
6.25258E+15,2021/4/3,Female,36 to 45 years old,Suburban/Peri-urban,"I can comfortably afford food, clothes, and furniture, and I have savings",University or college degree completed,"I work part-time, either as an employee or self-employed",Bolívar,1,1,1,1,1,1,No,Irregularly,1,0,1,0,0,1,1,1,1,0
5.20978E+15,2021/3/13,Male,Under 18,City center or metropolitan area,I cannot afford enough food for my family,Secondary school/ high school completed,I am a student,Bolívar,1,1,0,0,0,1,No,Irregularly,1,1,1,0,1,1,0,1,1,0
5.78155E+15,2021/3/13,Female,Over 45 years old,City center or metropolitan area,"I can afford food, regular expenses, and clothes, but nothing else",Technical school diploma or degree completed,"I work part-time, either as an employee or self-employed",Bolívar,1,1,1,1,0,1,No,Irregularly,1,0,1,0,0,1,1,1,1,0
5.74787E+15,2021/3/13,Male,36 to 45 years old,Rural,I cannot afford enough food for my family,University or college degree completed,None of the above,Bolívar,0,0,0,0,0,1,No,Irregularly,1,1,1,0,0,0,1,1,0,1
5.66663E+15,2021/3/13,Male,36 to 45 years old,Suburban/Peri-urban,"I can afford food and regular expenses, but nothing else",Technical school diploma or degree completed,"I work part-time, either as an employee or self-employed",Bolívar,0,1,0,0,0,1,No,Irregularly,0,0,1,1,1,1,0,0,0,0
4.86467E+15,2021/3/14,Male,26 to 35 years old,Suburban/Peri-urban,I cannot afford enough food for my family,Secondary school/ high school completed,"I work full-time, either as an employee or self-employed",Bolívar,1,0,0,0,0,1,No,Irregularly,1,0,1,1,1,0,0,0,0,1
5.5943E+15,2021/3/13,Female,18 to 25 years old,City center or metropolitan area,Prefer not to answer,Secondary school/ high school completed,I am a student and I work part-time,Bolívar,0,1,1,1,1,1,No,Irregularly,0,1,1,0,0,1,0,1,1,1
5.0701E+15,2021/4/2,Female,26 to 35 years old,Suburban/Peri-urban,"I can afford food and regular expenses, but nothing else",University or college degree completed,"I work full-time, either as an employee or self-employed",Bolívar,1,1,1,0,0,0,3 days,Irregularly,1,0,1,1,0,0,1,1,1,1
5.8259E+15,2021/3/13,Female,Over 45 years old,Suburban/Peri-urban,I cannot afford enough food for my family,Secondary school/ high school completed,I am retired,Bolívar,0,0,0,0,0,1,No,Irregularly,0,0,0,1,1,1,0,0,0,0
5.15018E+15,2021/3/20,Male,18 to 25 years old,Suburban/Peri-urban,I cannot afford enough food for my family,Some secondary school / high school,I am a student,Bolívar,0,1,0,1,1,0,3 days,Irregularly,0,0,1,1,1,0,0,0,1,0
4.86159E+15,2021/3/25,Female,36 to 45 years old,City center or metropolitan area,"I can afford food, but nothing else",Some university or college,I am unemployed,Bolívar,0,0,0,0,0,0,No,Irregularly,1,1,1,1,0,1,0,0,0,0
4.98194E+15,2021/3/24,Female,26 to 35 years old,Rural,I cannot afford enough food for my family,Secondary school/ high school completed,I am a student,Bolívar,1,0,0,0,0,0,No,Irregularly,1,1,1,1,1,1,0,0,0,0
6.52906E+15,2021/3/29,Female,18 to 25 years old,Suburban/Peri-urban,"I can afford food and regular expenses, but nothing else",Some university or college,I am a student and I work part-time,Bolívar,0,0,0,0,0,1,No,Irregularly,1,1,1,0,0,1,1,1,1,1
5.3999E+15,2021/3/13,Female,Over 45 years old,City center or metropolitan area,I cannot afford enough food for my family,University or college degree completed,"I work part-time, either as an employee or self-employed",Bolívar,0,0,0,0,0,1,No,Irregularly,1,0,1,0,1,1,0,1,0,0
4.9812E+15,2021/3/24,Male,18 to 25 years old,Suburban/Peri-urban,"I can afford food, but nothing else",Secondary school/ high school completed,"I work part-time, either as an employee or self-employed",Bolívar,0,1,0,0,0,0,No,Irregularly,1,0,0,1,1,1,0,1,0,0
5.94795E+15,2021/3/31,Female,18 to 25 years old,Rural,I cannot afford enough food for my family,Secondary school/ high school completed,I am unemployed,Bolívar,1,0,0,0,1,1,No,Irregularly,0,1,1,1,1,1,0,1,1,1
6.51588E+15,2021/3/15,Male,36 to 45 years old,Suburban/Peri-urban,"I can afford food and regular expenses, but nothing else",University or college degree completed,"I work full-time, either as an employee or self-employed",Bolívar,0,0,0,0,0,1,2 days,Irregularly,1,0,1,1,1,1,0,0,0,1
4.71205E+15,2021/3/26,Male,18 to 25 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",Some secondary school / high school,I am a student and I work part-time,Lara,0,1,1,0,0,1,No,Irregularly,1,0,1,0,1,1,1,1,1,1
6.12468E+15,2021/3/14,Female,Over 45 years old,City center or metropolitan area,"I can afford food, but nothing else",University or college degree completed,"I work part-time, either as an employee or self-employed",Lara,0,1,0,0,0,1,No,Irregularly,1,0,1,1,1,1,0,0,0,0
4.75646E+15,2021/9/27,Male,18 to 25 years old,Suburban/Peri-urban,"I can comfortably afford food, clothes, and furniture, but I don’t have savings",Some secondary school / high school,I am unemployed,Lara,0,0,0,0,0,0,Every day,Irregularly,1,0,1,1,1,0,0,1,1,0
6.20147E+15,2021/3/31,Male,18 to 25 years old,Rural,I cannot afford enough food for my family,Secondary school/ high school completed,I am a student,Lara,1,0,0,0,0,1,No,Irregularly,1,1,1,1,1,1,1,1,0,1
4.82517E+15,2021/3/13,Male,18 to 25 years old,Rural,"I can afford food, but nothing else",Secondary school/ high school completed,I am a student,Lara,0,1,0,0,0,0,No,Irregularly,1,1,1,0,0,1,1,0,0,1
5.23864E+15,2021/3/13,Male,36 to 45 years old,Suburban/Peri-urban,"I can afford food, regular expenses, and clothes, but nothing else",Secondary school/ high school completed,"I work full-time, either as an employee or self-employed",Lara,1,1,1,0,0,1,Every day,Irregularly,1,0,1,1,1,0,0,1,1,0
5.24501E+15,2021/3/26,Male,36 to 45 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",University or college degree completed,"I work full-time, either as an employee or self-employed",Lara,0,0,0,0,0,1,No,Irregularly,1,0,1,1,1,1,0,1,0,1
5.31322E+15,2021/3/13,Male,26 to 35 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",Secondary school/ high school completed,"I work full-time, either as an employee or self-employed",Lara,0,1,0,0,1,1,No,Irregularly,1,0,1,0,0,1,0,1,0,0
6.26469E+15,2021/3/24,Female,36 to 45 years old,Suburban/Peri-urban,"I can afford food, but nothing else",Some university or college,I am unemployed,Lara,1,1,0,0,0,1,No,Irregularly,1,0,1,1,1,0,0,0,0,0
5.91445E+15,2021/3/27,Female,36 to 45 years old,City center or metropolitan area,I cannot afford enough food for my family,Secondary school/ high school completed,None of the above,Lara,1,1,1,1,0,1,No,Irregularly,1,1,1,0,0,1,1,1,1,1
5.17654E+15,2021/3/15,Female,18 to 25 years old,Suburban/Peri-urban,"I can afford food, but nothing else",Secondary school/ high school completed,"I work part-time, either as an employee or self-employed",Lara,1,1,1,1,0,1,No,Irregularly,1,0,1,0,1,1,1,0,0,0
